,YEAR,State,AnySubstance,substanceCount
0,2014,Alabama,No,77691
1,2014,Alabama,Yes,8723
2,2014,Arizona,No,119293
3,2014,Arizona,Yes,34362
4,2014,Arkansas,No,64022
5,2014,Arkansas,Yes,3085
6,2014,California,No,535554
7,2014,California,Yes,116172
8,2014,Colorado,No,98087
9,2014,Colorado,Yes,16084
10,2014,Connecticut,No,68722
11,2014,Connecticut,Yes,18539
12,2014,Delaware,No,9515
13,2014,Delaware,Yes,426
14,2014,District of Columbia,No,25031
15,2014,District of Columbia,Yes,11
16,2014,Florida,No,179104
17,2014,Florida,Yes,25161
18,2014,Hawaii,No,10783
19,2014,Hawaii,Yes,1371
20,2014,Idaho,No,7286
21,2014,Idaho,Yes,925
22,2014,Illinois,No,117714
23,2014,Illinois,Yes,17189
24,2014,Indiana,No,110883
25,2014,Indiana,Yes,18276
26,2014,Iowa,No,110019
27,2014,Iowa,Yes,1286
28,2014,Kansas,No,37766
29,2014,Kansas,Yes,7360
30,2014,Kentucky,No,126479
31,2014,Kentucky,Yes,26703
32,2014,Louisiana,No,22125
33,2014,Louisiana,Yes,118
34,2014,Maryland,No,150471
35,2014,Maryland,Yes,14852
36,2014,Massachusetts,No,24598
37,2014,Massachusetts,Yes,7436
38,2014,Minnesota,No,167955
39,2014,Minnesota,Yes,37839
40,2014,Mississippi,No,47230
41,2014,Mississippi,Yes,12
42,2014,Missouri,No,70579
43,2014,Missouri,Yes,1100
44,2014,Montana,No,43619
45,2014,Montana,Yes,162
46,2014,Nebraska,No,16253
47,2014,Nebraska,Yes,6080
48,2014,Nevada,No,17378
49,2014,Nevada,Yes,1276
50,2014,New Jersey,No,267628
51,2014,New Jersey,Yes,72
52,2014,New Mexico,No,90373
53,2014,New Mexico,Yes,2733
54,2014,New York,No,26047
55,2014,New York,Yes,10845
56,2014,North Carolina,No,176076
57,2014,North Carolina,Yes,43367
58,2014,North Dakota,No,10189
59,2014,North Dakota,Yes,3879
60,2014,Ohio,No,349394
61,2014,Ohio,Yes,21160
62,2014,Oklahoma,No,38930
63,2014,Oklahoma,Yes,2713
64,2014,Oregon,No,96121
65,2014,Oregon,Yes,9140
66,2014,Pennsylvania,No,516201
67,2014,Pennsylvania,Yes,69880
68,2014,Rhode Island,No,14584
69,2014,Rhode Island,Yes,4496
70,2014,South Carolina,No,65540
71,2014,South Carolina,Yes,14753
72,2014,South Dakota,No,13123
73,2014,South Dakota,Yes,11
74,2014,Tennessee,No,91791
75,2014,Tennessee,Yes,17164
76,2014,Texas,No,237981
77,2014,Texas,Yes,62915
78,2014,Utah,No,38984
79,2014,Utah,Yes,4780
80,2014,Vermont,No,8743
81,2014,Vermont,Yes,601
82,2014,Virginia,No,72305
83,2014,Virginia,Yes,31905
84,2014,Washington,No,130791
85,2014,Washington,Yes,56
86,2014,Wisconsin,No,87969
87,2014,Wisconsin,Yes,11467
88,2014,Wyoming,No,14690
89,2014,Wyoming,Yes,2011
