,YEAR,State,substanceCount,disorderCount
3,2014,Alabama,8723,86084
7,2014,Arizona,34362,153631
11,2014,Arkansas,3085,63711
15,2014,California,116172,646664
19,2014,Colorado,16084,112996
23,2014,Connecticut,18539,76758
27,2014,Delaware,426,8988
31,2014,District of Columbia,11,22886
35,2014,Florida,25161,156836
39,2014,Hawaii,1371,11486
43,2014,Idaho,925,4302
47,2014,Illinois,17189,134895
51,2014,Indiana,18276,128360
55,2014,Iowa,1286,84696
59,2014,Kansas,7360,44786
63,2014,Kentucky,26703,149091
67,2014,Louisiana,118,21764
71,2014,Maryland,14852,164959
75,2014,Massachusetts,7436,30013
79,2014,Minnesota,37839,196828
83,2014,Mississippi,12,46465
87,2014,Missouri,1100,71580
91,2014,Montana,162,38759
95,2014,Nebraska,6080,20867
99,2014,Nevada,1276,17504
103,2014,New Jersey,72,226524
107,2014,New Mexico,2733,86795
111,2014,New York,10845,36151
115,2014,North Carolina,43367,211844
119,2014,North Dakota,3879,12403
123,2014,Ohio,21160,358905
127,2014,Oklahoma,2713,40794
131,2014,Oregon,9140,63665
135,2014,Pennsylvania,69880,482573
139,2014,Rhode Island,4496,19067
143,2014,South Carolina,14753,78235
147,2014,South Dakota,11,13124
151,2014,Tennessee,17164,103501
155,2014,Texas,62915,232148
159,2014,Utah,4780,40566
163,2014,Vermont,601,8141
167,2014,Virginia,31905,99747
171,2014,Washington,56,123176
175,2014,Wisconsin,11467,90934
179,2014,Wyoming,2011,16269
3,2019,Alabama,10351,95632
7,2019,Alaska,761,10780
11,2019,Arkansas,2122,60054
15,2019,California,91626,660144
19,2019,Colorado,566,134658
23,2019,Connecticut,19657,45096
27,2019,Delaware,2090,9878
31,2019,District of Columbia,8,36528
35,2019,Florida,224,174302
39,2019,Hawaii,2454,8487
43,2019,Idaho,1651,5831
47,2019,Illinois,3452,42291
51,2019,Indiana,21457,138842
55,2019,Kentucky,37851,157787
59,2019,Louisiana,1692,15985
63,2019,Maryland,46758,223862
67,2019,Massachusetts,1517,8553
71,2019,Michigan,46794,213527
75,2019,Minnesota,66796,261613
79,2019,Mississippi,14,85489
81,2019,Missouri,18613,76504
85,2019,Montana,13085,45820
89,2019,Nebraska,140,18834
93,2019,Nevada,1291,8842
97,2019,New Jersey,33343,269342
101,2019,New Mexico,44632,202380
105,2019,New York,11657,37117
109,2019,North Carolina,35,97720
113,2019,North Dakota,4758,8667
117,2019,Ohio,103413,560143
121,2019,Oklahoma,10608,83234
125,2019,Oregon,30634,141027
129,2019,Pennsylvania,68838,503900
133,2019,Rhode Island,9402,29041
137,2019,South Carolina,16181,94841
141,2019,South Dakota,8,14560
145,2019,Tennessee,11917,63430
149,2019,Texas,72153,281032
153,2019,Utah,4296,44771
159,2019,Virginia,39758,113682
163,2019,Washington,57,189913
167,2019,Wisconsin,4853,66500
171,2019,Wyoming,9,15844
