,State,2010,2020,PopChangePerYear,2014,2019
1,Alabama,4779736,5024279,24454.3,4877553.0,4999825.0
2,Alaska,710231,733391,2316.0,719495.0,731075.0
3,Arizona,6392017,7151502,75948.5,6695811.0,7075553.0
4,Arkansas,2915918,3011524,9560.6,2954160.0,3001963.0
5,California,37253956,39538223,228426.7,38167663.0,39309796.0
6,Colorado,5029196,5773714,74451.8,5327003.0,5699262.0
7,Connecticut,3574097,3605944,3184.7,3586836.0,3602759.0
8,Delaware,897934,989948,9201.4,934740.0,980747.0
9,District of Columbia,601723,689545,8782.2,636852.0,680763.0
10,Florida,18801310,21538187,273687.7,19896061.0,21264499.0
11,Georgia,9687653,10711908,102425.5,10097355.0,10609483.0
12,Hawaii,1360301,1455271,9497.0,1398289.0,1445774.0
13,Idaho,1567582,1839106,27152.4,1676192.0,1811954.0
14,Illinois,12830632,12812508,-1812.4,12823382.0,12814320.0
15,Indiana,6483802,6785528,30172.6,6604492.0,6755355.0
16,Iowa,3046355,3190369,14401.4,3103961.0,3175968.0
17,Kansas,2853118,2937880,8476.2,2887023.0,2929404.0
18,Kentucky,4339367,4505836,16646.9,4405955.0,4489189.0
19,Louisiana,4533372,4657757,12438.5,4583126.0,4645318.0
20,Maine,1328361,1362359,3399.8,1341960.0,1358959.0
21,Maryland,5773552,6177224,40367.2,5935021.0,6136857.0
22,Massachusetts,6547629,7029917,48228.8,6740544.0,6981688.0
23,Michigan,9883640,10077331,19369.1,9961116.0,10057962.0
24,Minnesota,5303925,5706494,40256.9,5464953.0,5666237.0
25,Mississippi,2967297,2961279,-601.8,2964890.0,2961881.0
26,Missouri,5988927,6154913,16598.6,6055321.0,6138314.0
27,Montana,989415,1084225,9481.0,1027339.0,1074744.0
28,Nebraska,1826341,1961504,13516.3,1880406.0,1947988.0
29,Nevada,2700551,3104614,40406.3,2862176.0,3064208.0
30,New Hampshire,1316470,1377529,6105.9,1340894.0,1371423.0
31,New Jersey,8791894,9288994,49710.0,8990734.0,9239284.0
32,New Mexico,2059179,2117522,5834.3,2082516.0,2111688.0
33,New York,19378102,20201249,82314.7,19707361.0,20118934.0
34,North Carolina,9535483,10439388,90390.5,9897045.0,10348997.0
35,North Dakota,672591,779094,10650.3,715192.0,768444.0
36,Ohio,11536504,11799448,26294.4,11641682.0,11773154.0
37,Oklahoma,3751351,3959353,20800.2,3834552.0,3938553.0
38,Oregon,3831074,4237256,40618.2,3993547.0,4196638.0
39,Pennsylvania,12702379,13002700,30032.1,12822507.0,12972668.0
40,Rhode Island,1052567,1097379,4481.2,1070492.0,1092898.0
41,South Carolina,4625364,5118425,49306.1,4822588.0,5069119.0
42,South Dakota,814180,886667,7248.7,843175.0,879418.0
43,Tennessee,6346105,6910840,56473.5,6571999.0,6854367.0
44,Texas,25145561,29145505,399994.4,26745539.0,28745511.0
45,Utah,2763885,3271616,50773.1,2966977.0,3220843.0
46,Vermont,625741,643077,1733.6,632675.0,641343.0
47,Virginia,8001024,8631393,63036.9,8253172.0,8568356.0
48,Washington,6724540,7705281,98074.1,7116836.0,7607207.0
49,West Virginia,1852994,1793716,-5927.8,1829283.0,1799644.0
50,Wisconsin,5686986,5893718,20673.2,5769679.0,5873045.0
51,Wyoming,563626,576851,1322.5,568916.0,575528.0
